OBJECTID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
93,1.292E-05,0.001015359,0.003281309,0.005754668,0.007813752,0.009444983,0.010723122,0.011723088,0.012504168,0.013110398,0.01357375,0.013917093,0.014156414,0.014302348,0.01436117,0.014335362,0.014223838,0.014021846,0.013720539,0.013306161,0.012758743,0.012050165,0.011141476,0.009979644,0.008495377,0.006609579,0.004280714,0.001867799,0.000166806,1.37829E-07
94,0.204517452,16.97261426,60.57733138,115.5300512,167.3483809,211.6780364,246.8744692,272.3258701,287.9013498,293.756359,290.2590792,277.9602173,257.5787731,229.993602,196.2370673,157.4897817,115.0767637,70.46620996,42.87028284,41.61039006,39.94434528,37.78490276,35.01049129,31.45408676,26.89397819,21.06803634,13.80766113,6.162735357,0.587916202,0.000574721
95,0.040025346,1.685447322,32.19718036,86.17999512,129.4856362,169.4530041,145.0387838,13.71650886,251.2867259,263.1406729,266.8090856,262.3836434,250.1637289,230.6422173,39.84427059,16.2974428,16.18872094,85.76168514,42.07619044,15.28936639,14.74867692,14.04384249,13.13118203,11.94851828,10.4083007,8.393747704,5.784563133,2.841712428,0.358471277,0.000714011
96,0.052456316,3.623717877,11.31175231,19.51166537,43.69959853,75.8909047,110.1845875,143.9676251,175.2997894,202.7271245,225.1641898,241.8229646,252.1703757,255.9030164,252.9323022,243.3762771,227.5562052,205.9974653,179.4354767,148.8286914,115.3823988,80.58946143,46.29723698,33.29083348,28.47465878,22.31878455,14.64155332,6.547017065,0.627948546,0.000622334
97,0.216185334,9.669398071,19.24368959,20.20021505,26.91532899,32.15593027,36.22266803,39.38331796,41.84049392,43.74106359,45.19003525,46.2617495,47.00780162,47.46234884,47.64548109,47.56513671,47.217844,46.58839808,45.64842517,44.35362337,42.63927947,40.41345299,45.00409635,68.10862375,82.74179473,84.57343017,68.86856161,37.24274079,4.414745038,0.005771446
98,0.61640581,36.84989506,106.2288934,169.0824172,207.5197225,223.4640036,221.1496587,204.5645808,177.1021992,141.6422144,100.6769792,56.41003396,45.31840641,45.75998705,45.93790436,45.85984725,45.52245301,44.9109959,43.99800424,42.74060497,41.07621626,38.91601649,36.13552889,32.56223194,27.96367461,22.05607375,14.62701155,6.67737518,0.680272407,0.000786178
99,0.092467461,15.05013866,55.38181909,97.04000541,122.7755494,131.5495216,126.0332047,109.4647745,84.85424307,54.84133674,40.3689806,41.57887015,42.4254314,42.94293385,43.15179507,43.06013705,42.66440399,41.94909198,40.88556802,39.42988957,37.51951134,35.06888811,31.96458713,28.06267832,23.1983856,17.24216459,10.31735026,3.87052987,0.222610173,5.99517E-05
100,0.02480024,2.604616481,9.099512433,16.56536532,22.95442306,28.09821821,32.17074119,35.37972932,37.89906415,39.86168571,41.3658372,42.48262189,43.2621424,43.73791156,43.92977017,43.84558491,43.48191355,42.82371449,53.51527368,91.96511941,126.5810388,155.0563628,174.7566954,182.647265,175.2768278,149.092765,102.1757257,45.14723269,3.617130173,0.002041077
101,0.775078565,42.5058331,124.6152122,205.9386873,265.281918,302.3430507,319.7245199,320.251753,306.5001966,280.7911639,245.2654025,201.9492261,152.7996606,99.73110575,47.08700229,47.00974139,46.67573656,46.07020468,45.16553122,43.91852805,42.26595276,40.11763419,37.34636063,33.77402805,29.15656502,23.18537246,15.59461011,7.313645979,0.805965831,0.00113774
102,0.390296783,18.8488645,46.02976179,60.83986372,58.88376022,44.69355798,36.30067064,39.41835095,41.83949688,43.71072035,45.13649202,46.19060181,46.92418098,47.37104253,47.55106002,47.47208344,47.13067994,46.51181108,45.58739786,44.31355782,42.62610152,40.43365041,37.60758125,33.96843098,29.2716679,40.22534522,39.32406839,24.1113447,3.210243794,0.004792263
